config,query_id,query,difficulty_type,expected_source_type,expected_refused,hit,rank_before,rank_after,deep_fulltext_in_top8,metadata_in_top8,deep_fulltext_top1,metadata_top1,source_match,refusal_matched,refused,top_source_types,top_source_titles,decision,next_action,error
hybrid_metadata_demote,cn_hq_itz_mesoscale,界面过渡区如何影响堆石混凝土的强度和断裂模式？,cross_passage,any,false,true,1,1,7,1,true,false,true,,,open_access_pdf;metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,3D mesoscopic numerical investigation on the uniaxial compre | Experimental Study on Effects of Casting Procedures on Compr | Study on the Influence of Specimen Size and Aggregate Size o | 堆石混凝土坝的内部结构 (1) | 堆石混凝土坝的内部结构 | 基于随机骨料投放的堆石混凝土断裂性能研究 | 堆石混凝土抗压强度影响因素细观分析 | 堆石混凝土抗压强度影响因素细观分析,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_itz_mesoscale,界面过渡区如何影响堆石混凝土的强度和断裂模式？,cross_passage,any,false,true,1,1,7,1,true,false,true,,,open_access_pdf;open_access_pdf;institutional_access_pdf;institutional_access_pdf;metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,3D mesoscopic numerical investigation on the uniaxial compre | Study on the Influence of Specimen Size and Aggregate Size o | 堆石混凝土坝的内部结构 (1) | 堆石混凝土坝的内部结构 | Experimental Study on Effects of Casting Procedures on Compr | 基于随机骨料投放的堆石混凝土断裂性能研究 | 堆石混凝土抗压强度影响因素细观分析 | 堆石混凝土抗压强度影响因素细观分析,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_engineering_quality_control,堆石混凝土在水库或坝工应用中的质量控制要点是什么？,cross_passage,institutional_access_pdf,false,true,1,1,1,7,false,true,false,,,local_file;institutional_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,"Rock-filled concrete, the new norm of SCC in hydraulic engin | 堆石混凝土施工技术在浯溪口大坝工程中的应用研究 | On-site experiment methods on the compaction detection of ro | Quality Control and Instrumentation | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | A Brief Review of Rock-Filled Concrete Dams and Prospects fo | Study on the effect of porosity and aperture on the damage c",baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_engineering_quality_control,堆石混凝土在水库或坝工应用中的质量控制要点是什么？,cross_passage,institutional_access_pdf,false,true,1,1,4,4,true,false,true,,,institutional_access_pdf;local_file;metadata_record;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;metadata_record,"堆石混凝土施工技术在浯溪口大坝工程中的应用研究 | Rock-filled concrete, the new norm of SCC in hydraulic engin | On-site experiment methods on the compaction detection of ro | Pilot Study on Vibrated Rock-filled Concrete | Research on Rock-Filled Concrete Dam | A Brief Review of Rock-Filled Concrete Dams and Prospects fo | Quality Control and Instrumentation | Seismic analysis of rock-filled concrete (RFC) dam with vari",keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_engineering_quality_control,堆石混凝土在水库或坝工应用中的质量控制要点是什么？,cross_passage,institutional_access_pdf,false,true,1,1,4,4,true,false,true,,,institutional_access_pdf;local_file;metadata_record;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;metadata_record,"堆石混凝土施工技术在浯溪口大坝工程中的应用研究 | Rock-filled concrete, the new norm of SCC in hydraulic engin | On-site experiment methods on the compaction detection of ro | Pilot Study on Vibrated Rock-filled Concrete | Research on Rock-Filled Concrete Dam | A Brief Review of Rock-Filled Concrete Dams and Prospects fo | Quality Control and Instrumentation | Seismic analysis of rock-filled concrete (RFC) dam with vari",keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_engineering_quality_control,堆石混凝土在水库或坝工应用中的质量控制要点是什么？,cross_passage,institutional_access_pdf,false,true,1,1,4,4,true,false,true,,,institutional_access_pdf;local_file;metadata_record;open_access_pdf;metadata_record;open_access_pdf;open_access_pdf;metadata_record,"堆石混凝土施工技术在浯溪口大坝工程中的应用研究 | Rock-filled concrete, the new norm of SCC in hydraulic engin | On-site experiment methods on the compaction detection of ro | Pilot Study on Vibrated Rock-filled Concrete | Quality Control and Instrumentation | Research on Rock-Filled Concrete Dam | A Brief Review of Rock-Filled Concrete Dams and Prospects fo | Seismic analysis of rock-filled concrete (RFC) dam with vari",keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_durability_freeze_thaw_permeability,堆石混凝土的抗冻和抗渗性能受哪些因素影响？,cross_passage,any,false,true,2,2,4,4,false,true,true,,,metadata_record;local_file;metadata_record;metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,Experimental Research on Freeze-thaw Resistence Property and | Experimental study of filling capacity of self-compacting co | Advancing rock-filled concrete (RFC) technology: Comprehensi | Seismic analysis of rock-filled concrete (RFC) dam with vari | 堆石混凝土综合性能试验与温度应力研究 | 堆石混凝土剪切性能试验研究 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | 基于细观建模的堆石混凝土拉压试验的数值模拟,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_durability_freeze_thaw_permeability,堆石混凝土的抗冻和抗渗性能受哪些因素影响？,cross_passage,any,false,true,2,2,7,1,false,true,true,,,metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,Experimental Research on Freeze-thaw Resistence Property and | 堆石混凝土综合性能试验与温度应力研究 | 堆石混凝土剪切性能试验研究 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | 堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 | 堆石混凝土坝渗透系数浅析 | 基于深度学习方法的堆石混凝土缺陷识别与分析,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_durability_freeze_thaw_permeability,堆石混凝土的抗冻和抗渗性能受哪些因素影响？,cross_passage,any,false,true,2,2,7,1,false,true,true,,,metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,Experimental Research on Freeze-thaw Resistence Property and | 堆石混凝土综合性能试验与温度应力研究 | 堆石混凝土剪切性能试验研究 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | 堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 | 堆石混凝土坝渗透系数浅析 | 基于深度学习方法的堆石混凝土缺陷识别与分析,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_durability_freeze_thaw_permeability,堆石混凝土的抗冻和抗渗性能受哪些因素影响？,cross_passage,any,false,true,2,2,6,2,false,true,true,,,metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;local_file;institutional_access_pdf;institutional_access_pdf,Experimental Research on Freeze-thaw Resistence Property and | 堆石混凝土综合性能试验与温度应力研究 | 堆石混凝土剪切性能试验研究 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | 基于细观建模的堆石混凝土拉压试验的数值模拟 | Experimental study of filling capacity of self-compacting co | 堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究 | 堆石混凝土坝渗透系数浅析,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_rfc_vs_rcc_construction,堆石混凝土与碾压混凝土在筑坝施工上有什么本质区别？,confusable,any,false,true,1,1,2,6,false,true,true,,,local_file;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;open_access_pdf;open_access_pdf,"Rock-filled concrete, the new norm of SCC in hydraulic engin | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete",baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_rfc_vs_rcc_construction,堆石混凝土与碾压混凝土在筑坝施工上有什么本质区别？,confusable,any,false,true,1,1,2,6,false,true,true,,,local_file;open_access_pdf;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,"Rock-filled concrete, the new norm of SCC in hydraulic engin | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No",keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_rfc_vs_rcc_construction,堆石混凝土与碾压混凝土在筑坝施工上有什么本质区别？,confusable,any,false,true,1,1,2,6,false,true,true,,,local_file;open_access_pdf;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,"Rock-filled concrete, the new norm of SCC in hydraulic engin | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No",keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_rfc_vs_rcc_construction,堆石混凝土与碾压混凝土在筑坝施工上有什么本质区别？,confusable,any,false,true,1,3,2,6,true,false,true,,,open_access_pdf;open_access_pdf;local_file;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,"Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Rock-filled concrete, the new norm of SCC in hydraulic engin | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No",keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_rfc_vs_em_concrete,堆石混凝土与埋石混凝土有何区别？,confusable,any,false,false,0,0,2,6,false,true,true,,,metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;open_access_pdf;open_access_pdf;metadata_record,Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No | Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Study on rock-fill concrete dam,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_rfc_vs_em_concrete,堆石混凝土与埋石混凝土有何区别？,confusable,any,false,false,0,0,2,6,true,false,true,,,open_access_pdf;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No | Study on rock-fill concrete dam,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_rfc_vs_em_concrete,堆石混凝土与埋石混凝土有何区别？,confusable,any,false,false,0,0,2,6,true,false,true,,,open_access_pdf;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No | Study on rock-fill concrete dam,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_rfc_vs_em_concrete,堆石混凝土与埋石混凝土有何区别？,confusable,any,false,false,0,0,2,6,true,false,true,,,open_access_pdf;open_access_pdf;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record;metadata_record,Research on Rock-Filled Concrete Dam | Pilot Study on Vibrated Rock-filled Concrete | Seismic analysis of rock-filled concrete (RFC) dam with vari | Pilot Study on Vibrated Rock-filled Concrete | Study on the effect of porosity and aperture on the damage c | EXPERIMENTAL RESEARCH ON MECHANICAL BEHAVIOR OF SELF-COMPACT | Behavior of Self-compacting Rock-fill Concrete Beam under No | Study on rock-fill concrete dam,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_elastic_vs_compressive,堆石混凝土的弹性模量和抗压强度有何区别？两者如何评价？,confusable,open_access_pdf,false,false,0,0,2,6,false,true,false,,,metadata_record;metadata_record;metadata_record;open_access_pdf;metadata_record;metadata_record;open_access_pdf;metadata_record,Study on the Influence of Specimen Size and Aggregate Size o | Testing the Self-compacting Rock-fill Concrete Strength by t | A Mesoscale Comparative Analysis of the Elastic Modulus in R | Study on the Influence of Specimen Size and Aggregate Size o | A Comprehensive Literature Review on the Elastic Modulus of  | Experimental Study on Effects of Casting Procedures on Compr | 3D mesoscopic numerical investigation on the uniaxial compre | 3D mesoscopic numerical investigation on the uniaxial compre,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_elastic_vs_compressive,堆石混凝土的弹性模量和抗压强度有何区别？两者如何评价？,confusable,open_access_pdf,false,false,0,0,6,2,true,false,true,,,open_access_pdf;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;open_access_pdf;institutional_access_pdf;metadata_record,Study on the Influence of Specimen Size and Aggregate Size o | 3D mesoscopic numerical investigation on the uniaxial compre | A Mesoscale Comparative Analysis of the Elastic Modulus in R | A Comprehensive Literature Review on the Elastic Modulus of  | Study on the Influence of Specimen Size and Aggregate Size o | Application of Iron Ore Tailings and Phosphogypsum to Create | 堆石混凝土在某高坝上的应用研究与抗震分析 | Testing the Self-compacting Rock-fill Concrete Strength by t,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_elastic_vs_compressive,堆石混凝土的弹性模量和抗压强度有何区别？两者如何评价？,confusable,open_access_pdf,false,false,0,0,6,2,true,false,true,,,open_access_pdf;open_access_pdf;open_access_pdf;open_access_pdf;metadata_record;open_access_pdf;institutional_access_pdf;metadata_record,Study on the Influence of Specimen Size and Aggregate Size o | 3D mesoscopic numerical investigation on the uniaxial compre | A Mesoscale Comparative Analysis of the Elastic Modulus in R | A Comprehensive Literature Review on the Elastic Modulus of  | Study on the Influence of Specimen Size and Aggregate Size o | Application of Iron Ore Tailings and Phosphogypsum to Create | 堆石混凝土在某高坝上的应用研究与抗震分析 | Testing the Self-compacting Rock-fill Concrete Strength by t,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_elastic_vs_compressive,堆石混凝土的弹性模量和抗压强度有何区别？两者如何评价？,confusable,open_access_pdf,false,false,0,0,6,2,true,false,true,,,open_access_pdf;open_access_pdf;open_access_pdf;open_access_pdf;open_access_pdf;institutional_access_pdf;metadata_record;metadata_record,Study on the Influence of Specimen Size and Aggregate Size o | 3D mesoscopic numerical investigation on the uniaxial compre | A Mesoscale Comparative Analysis of the Elastic Modulus in R | A Comprehensive Literature Review on the Elastic Modulus of  | Application of Iron Ore Tailings and Phosphogypsum to Create | 堆石混凝土在某高坝上的应用研究与抗震分析 | Study on the Influence of Specimen Size and Aggregate Size o | Testing the Self-compacting Rock-fill Concrete Strength by t,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_adiabatic_vs_pour_temp,绝热温升和浇筑入仓温度在大体积温控中分别起什么作用？,confusable,institutional_access_pdf,false,true,4,4,6,2,false,true,false,,,metadata_record;metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,A Study on Adiabatic Temperature Rise Test and Temperature S | Preliminary study on temperature rise property of thermal in | The Influence of Construction Parameters on the Temperature  | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土水化温升过程及动力学研究 (1) | 堆石混凝土绝热温升试验及数值模拟研究,baseline,保持默认链路；与候选配置对照,
hybrid_fulltext_boost,cn_hq_adiabatic_vs_pour_temp,绝热温升和浇筑入仓温度在大体积温控中分别起什么作用？,confusable,institutional_access_pdf,false,true,4,3,7,1,false,true,false,,,metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,A Study on Adiabatic Temperature Rise Test and Temperature S | The Influence of Construction Parameters on the Temperature  | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土水化温升过程及动力学研究 (1) | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_metadata_demote,cn_hq_adiabatic_vs_pour_temp,绝热温升和浇筑入仓温度在大体积温控中分别起什么作用？,confusable,institutional_access_pdf,false,true,4,3,7,1,false,true,false,,,metadata_record;open_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,A Study on Adiabatic Temperature Rise Test and Temperature S | The Influence of Construction Parameters on the Temperature  | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土水化温升过程及动力学研究 (1) | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究,keep_existing_hybrid,Δp@1=-0.07<0.10,
hybrid_topic_anchor_strict,cn_hq_adiabatic_vs_pour_temp,绝热温升和浇筑入仓温度在大体积温控中分别起什么作用？,confusable,institutional_access_pdf,false,true,4,3,7,1,true,false,false,,,open_access_pdf;metadata_record;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf;institutional_access_pdf,The Influence of Construction Parameters on the Temperature  | A Study on Adiabatic Temperature Rise Test and Temperature S | 堆石混凝土热学参数试验及温度应力仿真研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土水化温升过程及动力学研究 (1) | 堆石混凝土绝热温升试验及数值模拟研究 | 堆石混凝土绝热温升试验及数值模拟研究,keep_existing_hybrid,Δp@1=-0.20<0.10,
hybrid_baseline,cn_hq_splitting_vs_tensile,劈裂抗拉强度与直接抗拉强度之间有什么关系？,confusable,institutional_access_pdf,false,true,4,4,5,3,false,true,false,,,metadata_record;open_access_pdf;metadata_record;institutional_access_pdf;institutional_access_pdf;open_access_pdf;metadata_record;institutional_access_pdf,Study on the Influence of Specimen Size and Aggregate Size o | Study on the Influence of Specimen Size and Aggregate Size o | Testing the Self-compacting Rock-fill Concrete Strength by t | 自密实堆石混凝土力学性能的试验研究 | 自密实堆石混凝土力学性能的试验研究 | 3D mesoscopic numerical investigation on the uniaxial compre | Experimental Study on Effects of Casting Procedures on Compr | 堆石混凝土抗冻抗渗性能的试验研究,baseline,保持默认链路；与候选配置对照,
