query_id,question,edge_category,category,expected_has_image,expected_image_keywords,expected_caption_keywords,expected_doc_keywords,expected_source_image_path,expected_page_number,notes
edge_fuzzy_004,有没有那个坝体缺陷处理断面的图,fuzzy_colloquial,must_have_image,true,缺陷处理|坝块|断面,4#坝块缺陷处理断面图,坝体已浇筑堆石混凝土施工缺陷统计表,data/images/1381/page3_img1.png,3,real_db_chunk=33677; edge=fuzzy_colloquial_query
edge_fuzzy_005,找个拌合物摊开的状态照片看看,fuzzy_colloquial,must_have_image,true,拌合物|圆形|刻度尺,不同HPMC掺量下混凝土拌合物的状态,自密实堆石混凝土的施工性,data/images/1383/page4_img2.png,4,real_db_chunk=33659; edge=fuzzy_colloquial_query
edge_ext_001,请找新龙堡水库C9015自密实堆石混凝土布置图,cross_page_image,must_have_image,true,C9015|自密实堆石混凝土|坝顶高程,新龙堡水库C9015 自密实堆石混凝土,新龙堡水库,data/images/1375/page4_img1.png,4,real_db_chunk=33656; edge=expanded_cross_page
edge_ext_002,请返回堆石混凝土实时测量图,table_embedded_chart,must_have_image,true,实时测量|堆石混凝土|照片,实时测量图,广西第一个在大坝建设施工中应用堆石混凝土,data/images/1408/page2_img1.png,2,real_db_chunk=33662; edge=expanded_field_photo
edge_ext_003,请找Marathia Dam in Greece的坝体剖面图,multi_image_competition,must_have_image,true,Marathia|Dam|剖面,Marathia Dam in Greece,胶结颗粒料坝,data/images/1435/page2_img1.png,2,real_db_chunk=33668; edge=expanded_english_caption
edge_ext_004,请找Cindere Dam in Turkey的剖面图,multi_image_competition,must_have_image,true,Cindere|Turkey|107,Cindere Dam in Turkey,胶结颗粒料坝,data/images/1435/page2_img2.png,2,real_db_chunk=33669; edge=expanded_english_caption
edge_ext_005,请返回九九坑水库坝址地形地貌图,cross_page_image,must_have_image,true,坝址|地形地貌|左坝肩,坝址地形地貌,九九坑水库,data/images/1474/page1_img1.png,1,real_db_chunk=33672; edge=expanded_site_photo
edge_ext_006,请找重力坝枢纽布置图,cross_page_image,must_have_image,true,重力坝|枢纽|溢洪道,重力坝枢纽布置,九九坑水库,data/images/1474/page3_img1.png,3,real_db_chunk=33673; edge=expanded_layout
edge_ext_007,请找大坝断面图而不是施工现场照片,multi_image_competition,must_have_image,true,大坝|断面|水位,大坝断面图,坝体已浇筑堆石混凝土施工缺陷统计表,data/images/1381/page1_img1.png,1,real_db_chunk=33676; edge=expanded_section
edge_ext_008,请返回7号坝块缺陷处理断面图,multi_image_competition,must_have_image,true,7#坝块|缺陷处理|断面,7#坝块缺陷处理断面图,坝体已浇筑堆石混凝土施工缺陷统计表,data/images/1381/page3_img2.png,3,real_db_chunk=33678; edge=expanded_section
edge_ext_009,请找Shoukoubu Dam under construction的图,multi_image_competition,must_have_image,true,Shoukoubu|construction|CSGR,Shoukoubu Dam under construction,胶结颗粒料坝,data/images/1435/page3_img1.png,3,real_db_chunk=33685; edge=expanded_english_caption
edge_ext_010,请返回单位水量和抗压强度关系曲线,table_embedded_chart,must_have_image,true,unit water|compressive strength|curve,Relationship curve between unit water consumption and compressive strength,胶结颗粒料坝,data/images/1435/page4_img1.png,4,real_db_chunk=33686; edge=expanded_curve
edge_ext_011,请找cemented soil dam section剖面图,multi_image_competition,must_have_image,true,Cemented soil|dam section|剖面,Cemented soil dam section,胶结颗粒料坝,data/images/1435/page7_img1.png,7,real_db_chunk=33689; edge=expanded_english_caption
edge_ext_012,请找两个圆形颗粒沉降过程的流场图,multi_image_competition,must_have_image,true,sedimentation|circular particles|flow field,sedimentation process of two circular particles,Lattice Boltzmann,data/images/12/page5_img1.png,5,real_db_chunk=33703; edge=expanded_same_caption
edge_ext_013,请找Bingham流体中kissing time快照图,multi_image_competition,must_have_image,true,kissing time|Bingham|Yielded region,Snapshots at the kissing time,Lattice Boltzmann,data/images/12/page7_img1.png,7,real_db_chunk=33708; edge=expanded_same_caption
edge_ext_014,请返回20000 time steps沉降快照图,multi_image_competition,must_have_image,true,20000|sedimentation|Bingham,Snapshots at 20000 time steps,Lattice Boltzmann,data/images/12/page8_img1.png,8,real_db_chunk=33710; edge=expanded_same_caption
edge_ext_015,请找SCC flow in a single channel的模拟布局图,multi_image_competition,must_have_image,true,SCC flow|single channel|layout,Simulation layout of SCC flow in a single channel,Lattice Boltzmann,data/images/12/page9_img1.png,9,real_db_chunk=33714; edge=expanded_english_caption
edge_ext_016,请返回Qf和Qs统计结果的另一张同页图,multi_image_competition,must_have_image,true,Qf|Qs|Time,statistics results of fluxes,Lattice Boltzmann,data/images/12/page10_img3.png,10,real_db_chunk=33717; edge=expanded_same_page
edge_ext_017,请找不同φs条件下PF曲线的小插图版本,multi_image_competition,must_have_image,true,φs|PF|Ar,passing factor PF with different φs,Lattice Boltzmann,data/images/12/page11_img3.png,11,real_db_chunk=33721; edge=expanded_same_page
edge_ext_018,请找恒山水库堆石混凝土工程施工现场图,table_embedded_chart,must_have_image,true,恒山水库|堆石混凝土|施工现场,恒山水库堆石混凝土工程施工现场,低碳堆石混凝土,data/images/1093/page76_img1.png,76,edge=expanded_chart_like
edge_ext_019,请找CSG用水量与抗压强度关系图,table_embedded_chart,must_have_image,true,用水量|抗压强度|CSG,用水量与抗压强度的关系,CSG,data/images/1096/page16_img1.png,16,edge=expanded_chart_like
edge_ext_020,请找各种情景下成本进度和排放表现图,table_embedded_chart,must_have_image,true,成本|进度|排放,各种情景下成本、进度和排放表现,低碳堆石混凝土,data/images/1093/page94_img1.png,94,edge=expanded_chart_like
edge_ext_021,请找施工现场里管道正在浇筑浆体的图片,fuzzy_colloquial,must_have_image,true,管道|浆体|浇筑,堆石混凝土浇筑过程,广西第一个在大坝建设施工中应用堆石混凝土,data/images/1408/page4_img3.png,4,edge=expanded_fuzzy
edge_ext_022,给我看那个山地基坑堆石入仓的黑白现场图,fuzzy_colloquial,must_have_image,true,山地|基坑|堆石入仓,堆石入仓,广西第一个在大坝建设施工中应用堆石混凝土,data/images/1408/page4_img1.png,4,edge=expanded_fuzzy
edge_ext_023,找一张压力机压立方体试件的图,fuzzy_colloquial,must_have_image,true,压力机|立方体|试件,单轴压缩试验图,堆石混凝土坝,data/images/1471/page2_img1.png,2,edge=expanded_fuzzy
edge_ext_024,请找有黑色泡沫的混凝土异常仓面图,fuzzy_colloquial,must_have_image,true,黑色泡沫|异常|仓面,混凝土浇筑仓面出现异常,九九坑水库堆石混凝土工程,data/images/1482/page3_img1.png,3,edge=expanded_fuzzy
edge_ext_025,找水槽注水到模内堆石再浇筑的流程图,fuzzy_colloquial,must_have_image,true,水槽注水|模内堆石|拌和物性能测试,水下自密实堆石混凝土浇筑流程,自密实堆石混凝土的施工性,data/images/1383/page3_img1.png,3,edge=expanded_fuzzy
edge_ext_026,请返回HPMC和胶粉影响坍落扩展度的图表,table_embedded_chart,must_have_image,true,HPMC|胶粉|坍落扩展度,不同因素对混凝土拌合物坍落扩展度的影响,自密实堆石混凝土的施工性,data/images/1383/page4_img5.png,4,edge=expanded_chart
edge_ext_027,请找HPMC掺量与T500扩展时间柱状图,table_embedded_chart,must_have_image,true,HPMC|T500|柱状图,不同因素对混凝土拌合物T500扩展时间的影响,自密实堆石混凝土的施工性,data/images/1383/page5_img2.png,5,edge=expanded_chart
edge_ext_028,请找粉煤灰或胶凝材料用量相关的水泥流失量图,table_embedded_chart,must_have_image,true,水泥流失量|胶凝材料|HPMC,不同因素对混凝土拌合物水泥流失量的影响,自密实堆石混凝土的施工性,data/images/1383/page4_img4.png,4,edge=expanded_chart
edge_ext_029,请找坝址下游视角并标出坝高50m的图片,cross_page_image,must_have_image,true,坝址下游视角|坝高50m|左坝肩,坝址地形地貌,九九坑水库,data/images/1474/page1_img1.png,1,edge=expanded_site
edge_ext_030,请找包含控制廊道和灌浆帷幕的坝体剖面图,cross_page_image,must_have_image,true,control gallery|grouting curtain|drainage,Marathia Dam in Greece,胶结颗粒料坝,data/images/1435/page2_img1.png,2,edge=expanded_section
