query_id,question,language_type,decompose_applied,sub_query_count,sub_queries,evidence_rank,evidence_title,evidence_sub_query_count,topic_terms,both_match,source_type,raw_score,final_score,deduplicated_count,provenance_present,source_hit_matched,answer_coverage_proxy,review_note
user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,no,1,Are there studies about freeze-thaw resistance of rock-filled concrete?,1,The Experimental Study of Influence of Recycled Aggregates on Mechanical Property of Self-compacting Rock-filled Concrete,1,"are,of,rfc",True,metadata_record,0.8656,1.3360,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,no,1,Are there studies about freeze-thaw resistance of rock-filled concrete?,2,Experimental studies on shear properties of cold joints of rock-filled concrete,1,"are,of",True,metadata_record,0.9248,1.3200,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,no,1,Are there studies about freeze-thaw resistance of rock-filled concrete?,3,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,1,of,True,metadata_record,0.8376,1.1758,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,no,1,Are there studies about freeze-thaw resistance of rock-filled concrete?,4,Experimental Research on Freeze-thaw Resistence Property and Impermeability for Rock-filled Concrete,1,"are,studies,resistance,of,rfc",False,metadata_record,0.7000,1.1269,5,yes,yes,yes,single query; provenance present
user_en_freeze_thaw,Are there studies about freeze-thaw resistance of rock-filled concrete?,en,no,1,Are there studies about freeze-thaw resistance of rock-filled concrete?,5,,1,"are,resistance,of,rfc",False,metadata_record,0.6781,1.1033,5,yes,yes,yes,single query; provenance present
user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,no,1,堆石混凝土长期变形和徐变有什么研究？,1,Experimental study on the creep behaviour of rock-filled concrete and self-compacting concrete,1,"rock-filled concrete,creep,creep behaviour",True,metadata_record,0.9603,1.5200,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,no,1,堆石混凝土长期变形和徐变有什么研究？,2,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios,1,"rock-filled concrete,rock-fill concrete,creep,creep behaviour",True,open_access_pdf,0.6265,1.2324,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,no,1,堆石混凝土长期变形和徐变有什么研究？,3,Pilot Study on Vibrated Rock-filled Concrete,1,"rock-filled concrete,rfc",True,local_file,0.6293,1.1253,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,no,1,堆石混凝土长期变形和徐变有什么研究？,4,堆石混凝土绝热温升性能初步研究,1,"rock-filled concrete,rfc",True,metadata_record,0.5947,0.9893,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_creep,堆石混凝土长期变形和徐变有什么研究？,zh_colloquial,no,1,堆石混凝土长期变形和徐变有什么研究？,5,,1,"rock-filled concrete,rfc,creep",False,metadata_record,0.2895,0.6215,5,yes,yes,yes,single query; provenance present
user_mixed_cost_emission,RFC dam construction 的成本工期和碳排放怎么评估？,mixed,yes,3,RFC dam construction cost evaluation || RFC dam construction schedule evaluation || RFC dam construction emission life-cycle assessment,1,"Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation",3,"rfc,construction,emission,cost,schedule,evaluation",True,metadata_record,0.9853,1.6200,25,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_mixed_cost_emission,RFC dam construction 的成本工期和碳排放怎么评估？,mixed,yes,3,RFC dam construction cost evaluation || RFC dam construction schedule evaluation || RFC dam construction emission life-cycle assessment,2,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,2,"rfc,construction,emission",True,open_access_pdf,0.9399,1.5840,25,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_mixed_cost_emission,RFC dam construction 的成本工期和碳排放怎么评估？,mixed,yes,3,RFC dam construction cost evaluation || RFC dam construction schedule evaluation || RFC dam construction emission life-cycle assessment,3,Life-Cycle Assessment of Concrete Dam Construction: Comparison of Environmental Impact of Rock-Filled and Conventional Concrete,2,"rfc,construction,emission,life-cycle,life cycle,lca,assessment",True,metadata_record,0.9614,1.5458,25,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_mixed_cost_emission,RFC dam construction 的成本工期和碳排放怎么评估？,mixed,yes,3,RFC dam construction cost evaluation || RFC dam construction schedule evaluation || RFC dam construction emission life-cycle assessment,4,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,3,"rfc,construction,emission",True,open_access_pdf,0.7662,1.4576,25,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_mixed_cost_emission,RFC dam construction 的成本工期和碳排放怎么评估？,mixed,yes,3,RFC dam construction cost evaluation || RFC dam construction schedule evaluation || RFC dam construction emission life-cycle assessment,5,,1,"rfc,construction,emission,life-cycle,assessment",True,open_access_pdf,0.8473,1.4400,25,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_porosity_compression,孔隙率会怎么影响堆石混凝土抗压表现？,zh_colloquial,yes,2,rock-filled concrete porosity void defects || rock-filled concrete compressive behavior strength,1,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,1,"rock-filled concrete,porosity,堆石混凝土,孔隙率,孔隙",True,local_file,1.0457,1.6200,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_porosity_compression,孔隙率会怎么影响堆石混凝土抗压表现？,zh_colloquial,yes,2,rock-filled concrete porosity void defects || rock-filled concrete compressive behavior strength,2,Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete,1,"rock-filled concrete,rfc,strength,compressive,compressive strength",True,metadata_record,0.9828,1.4599,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_porosity_compression,孔隙率会怎么影响堆石混凝土抗压表现？,zh_colloquial,yes,2,rock-filled concrete porosity void defects || rock-filled concrete compressive behavior strength,3,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,1,"rock-filled concrete,mechanical,strength,compressive,compressive behavior,compressive strength,defects,behavior",True,open_access_pdf,0.9157,1.4557,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_porosity_compression,孔隙率会怎么影响堆石混凝土抗压表现？,zh_colloquial,yes,2,rock-filled concrete porosity void defects || rock-filled concrete compressive behavior strength,4,"Experimental Study on Effects of Casting Procedures on Compressive Strength, Water Permeability, and Interfacial Transition Zone Porosity of Rock-Filled Concrete",1,"rock-filled concrete,rfc,strength,compressive,compressive strength,porosity",True,metadata_record,0.9681,1.4457,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_cn_porosity_compression,孔隙率会怎么影响堆石混凝土抗压表现？,zh_colloquial,yes,2,rock-filled concrete porosity void defects || rock-filled concrete compressive behavior strength,5,,1,"rock-fill concrete,rfc,mechanical,strength,compressive,compressive strength",True,metadata_record,0.9237,1.4034,15,yes,yes,yes,decomposed query; provenance present; keyword/vector both-match
user_en_steel_fiber_filling,Does steel fiber reinforced mortar affect filling performance in RFC?,en,no,1,Does steel fiber reinforced mortar affect filling performance in RFC?,1,Evaluating the Filling Performance of Steel Fiber-Reinforced Self-Compacted Mortar into Rock-Filled Concrete,1,"steel,fiber,reinforced,mortar,filling,performance,in",True,metadata_record,1.0777,1.5200,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_steel_fiber_filling,Does steel fiber reinforced mortar affect filling performance in RFC?,en,no,1,Does steel fiber reinforced mortar affect filling performance in RFC?,2,Effect of basalt fiber content on the dynamic tensile properties of rock-filled concrete: Insights from split-hopkinson tensile bar and split-hopkinson pressure bar Brazilian testing,1,"fiber,reinforced,performance,in",True,metadata_record,0.6418,1.1055,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_steel_fiber_filling,Does steel fiber reinforced mortar affect filling performance in RFC?,en,no,1,Does steel fiber reinforced mortar affect filling performance in RFC?,3,Analyzing the filling performance parameters of self-compacted mortar in rock filled concrete,1,"mortar,filling,performance,in",True,open_access_pdf,0.5533,1.0934,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_steel_fiber_filling,Does steel fiber reinforced mortar affect filling performance in RFC?,en,no,1,Does steel fiber reinforced mortar affect filling performance in RFC?,4,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,1,"steel,fiber,reinforced,performance,in",True,open_access_pdf,0.4349,0.9836,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_steel_fiber_filling,Does steel fiber reinforced mortar affect filling performance in RFC?,en,no,1,Does steel fiber reinforced mortar affect filling performance in RFC?,5,,1,"performance,in",True,metadata_record,0.5789,0.9472,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_shear_key,岩石剪力键会影响冷缝剪切性能吗？,engineering_cn,no,1,岩石剪力键会影响冷缝剪切性能吗？,1,Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation,1,"cold joint,cold joints,shear,rock shear keys,shear keys",True,metadata_record,0.8896,1.5200,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_shear_key,岩石剪力键会影响冷缝剪切性能吗？,engineering_cn,no,1,岩石剪力键会影响冷缝剪切性能吗？,2,Experimental studies on shear properties of cold joints of rock-filled concrete,1,"cold joint,shear",True,metadata_record,0.4372,1.0115,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_cn_shear_key,岩石剪力键会影响冷缝剪切性能吗？,engineering_cn,no,1,岩石剪力键会影响冷缝剪切性能吗？,3,堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相,1,"cold joint,cold joints,shear",False,metadata_record,0.4684,0.8966,5,yes,yes,yes,single query; provenance present
user_cn_shear_key,岩石剪力键会影响冷缝剪切性能吗？,engineering_cn,no,1,岩石剪力键会影响冷缝剪切性能吗？,4,Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete,1,"cold joint,cold joints,shear",False,metadata_record,0.3155,0.7246,5,yes,yes,yes,single query; provenance present
user_cn_shear_key,岩石剪力键会影响冷缝剪切性能吗？,engineering_cn,no,1,岩石剪力键会影响冷缝剪切性能吗？,5,,1,none,False,local_file,0.2982,0.4553,5,yes,yes,yes,single query; provenance present
user_en_seismic_ratio,How do rock-fill ratios affect seismic analysis of RFC dams?,en,no,1,How do rock-fill ratios affect seismic analysis of RFC dams?,1,Seismic analysis of rock-filled concrete (RFC) dam with various rock-fill ratios,1,"how,do,ratios,seismic,analysis,of,rfc",True,metadata_record,1.0847,1.5200,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_seismic_ratio,How do rock-fill ratios affect seismic analysis of RFC dams?,en,no,1,How do rock-fill ratios affect seismic analysis of RFC dams?,2,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,1,"ratios,analysis,of,rfc",True,metadata_record,0.7298,1.1928,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_seismic_ratio,How do rock-fill ratios affect seismic analysis of RFC dams?,en,no,1,How do rock-fill ratios affect seismic analysis of RFC dams?,3,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,1,"do,of,rfc",True,open_access_pdf,0.6088,1.1113,5,yes,yes,yes,single query; provenance present; keyword/vector both-match
user_en_seismic_ratio,How do rock-fill ratios affect seismic analysis of RFC dams?,en,no,1,How do rock-fill ratios affect seismic analysis of RFC dams?,4,The Experimental Study of Influence of Recycled Aggregates on Mechanical Property of Self-compacting Rock-filled Concrete,1,"how,do,seismic,analysis,of,rfc",False,open_access_pdf,0.4059,0.8042,5,yes,yes,yes,single query; provenance present
user_en_seismic_ratio,How do rock-fill ratios affect seismic analysis of RFC dams?,en,no,1,How do rock-fill ratios affect seismic analysis of RFC dams?,5,,1,"do,seismic,analysis,of,rfc",False,metadata_record,0.3713,0.7123,5,yes,yes,yes,single query; provenance present
user_unsupported_random,zqxjvblorptasticprotocol,unsupported,no,1,zqxjvblorptasticprotocol,1,,1,none,False,metadata_record,0.3000,1.0200,5,yes,yes,yes,single query; provenance present
user_unsupported_random,zqxjvblorptasticprotocol,unsupported,no,1,zqxjvblorptasticprotocol,2,,1,none,False,metadata_record,0.2750,0.9368,5,yes,yes,yes,single query; provenance present
user_unsupported_random,zqxjvblorptasticprotocol,unsupported,no,1,zqxjvblorptasticprotocol,3,,1,none,False,open_access_pdf,0.2562,0.9341,5,yes,yes,yes,single query; provenance present
user_unsupported_random,zqxjvblorptasticprotocol,unsupported,no,1,zqxjvblorptasticprotocol,4,,1,none,False,open_access_pdf,0.2531,0.9236,5,yes,yes,yes,single query; provenance present
user_unsupported_random,zqxjvblorptasticprotocol,unsupported,no,1,zqxjvblorptasticprotocol,5,,1,none,False,metadata_record,0.2624,0.8945,5,yes,yes,yes,single query; provenance present
