review_id,query_id,config_name,question,expected_answer_points,answer,evidence_titles,evidence_source_ids,faithfulness,answer_coverage,citation_quality,risk_level,review_method,decompose_applied,provenance_summary,skipped_reason,recommendation,notes
stage14_real_skipped_001,user_cn_colloquial_compactness,real_config,现场怎么判断堆石混凝土有没有灌满以及密实度够不够？,说明密实度或灌满判断需要质量控制和检测依据,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,中文口语问法 覆盖施工质量和密实度检测
stage14_real_skipped_002,user_mixed_itz_strength,real_config,RFC 里 rock 和 SCC 的界面 ITZ 会怎样影响强度？,说明 rock/SCC 界面或 ITZ 对强度和破坏的影响,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,中英混合术语 覆盖界面过渡区
stage14_real_skipped_003,user_en_freeze_thaw,real_config,Are there studies about freeze-thaw resistance of rock-filled concrete?,说明抗冻或 freeze-thaw 与耐久性相关研究,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,英文耐久性问题
stage14_real_skipped_004,user_cn_creep,real_config,堆石混凝土长期变形和徐变有什么研究？,说明长期变形或 creep 行为的研究对象,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,中文口语问法 覆盖徐变
stage14_real_skipped_005,user_mixed_cost_emission,real_config,RFC dam construction 的成本工期和碳排放怎么评估？,说明成本 工期 排放或生命周期评价指标,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,中英混合工程管理问题
stage14_real_skipped_006,user_cn_porosity_compression,real_config,孔隙率会怎么影响堆石混凝土抗压表现？,说明孔隙率或初始孔洞对抗压行为的影响,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,中文口语问法 覆盖孔隙率
stage14_real_skipped_007,user_en_steel_fiber_filling,real_config,Does steel fiber reinforced mortar affect filling performance in RFC?,说明钢纤维或 steel fiber 对填充性能的影响,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,英文材料改性问题
stage14_real_skipped_008,user_cn_shear_key,real_config,岩石剪力键会影响冷缝剪切性能吗？,说明岩石剪力键和冷缝剪切性能关系,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,工程场景问题 覆盖冷缝剪切
stage14_real_skipped_009,user_en_seismic_ratio,real_config,How do rock-fill ratios affect seismic analysis of RFC dams?,说明堆石率与抗震或 seismic analysis 的关系,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,英文坝体抗震问题
stage14_real_skipped_010,user_unsupported_random,real_config,zqxjvblorptasticprotocol,应拒答且不返回来源,,,,skipped,skipped,skipped,skipped,real_model_review,,,Missing result file: data\evaluation\stage14_real\user_question_results.csv,真实模型结果缺失，保留 deterministic 校准表并等待显式真实评测结果。,无语料依据的随机协议问题
