case_id,status,question_type,decision_hint,policy_route,expected_decision_hint,next_action,expected_next_action,use_prior_evidence,expected_use_prior,memory_used_for_planning,memory_used_for_retrieval,memory_used_for_answer,memory_citation_source,session_entity_count,session_anchor_count,stale_anchor_count,prior_source_count,prior_relevance_score,prior_relevance_passed,long_term_enabled
correction_without_prior_search,pass,session_followup,stale_anchor_refresh_search,refresh_search_ignore_stale_memory,stale_anchor_refresh_search,search_knowledge,search_knowledge,False,False,True,True,False,False,1,0,5,0,0.0,False,False
off_topic_no_memory_search,pass,single_turn,no_memory,search_without_memory,no_memory,search_knowledge,search_knowledge,False,False,False,False,False,False,0,0,0,0,0.0,False,False
new_topic_prior_no_history_search,pass,single_turn,no_memory,search_with_memory_context,no_memory,search_knowledge,search_knowledge,False,False,True,False,False,False,0,0,0,3,1.0,True,False
high_relevance_expand_reuses,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,1,5,0,1,0.9,True,False
low_relevance_expand_with_history_search,pass,new_topic_or_context,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,False,False,False,1,5,0,3,0.0,False,False
low_relevance_expand_no_history_search,pass,single_turn,no_memory,search_with_memory_context,no_memory,search_knowledge,search_knowledge,False,False,True,False,False,False,0,0,0,3,0.0,False,False
threshold_relevance_expand_reuses,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,1,5,0,1,0.5000000000000001,True,False
below_threshold_expand_search,pass,new_topic_or_context,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,False,False,False,1,5,0,1,0.49,False,False
contextual_prior_low_relevance_still_search,pass,new_topic_or_context,prior_evidence_available,search_with_memory_context,prior_evidence_available,search_knowledge,search_knowledge,False,False,True,True,False,False,1,5,0,3,0.0,False,False
off_topic_with_prior_search,pass,single_turn,no_memory,search_with_memory_context,no_memory,search_knowledge,search_knowledge,False,False,True,False,False,False,0,0,0,3,1.0,True,False
stale_anchor_blocks_high_relevance,pass,new_topic_or_context,stale_anchor_refresh_search,refresh_search_ignore_stale_memory,stale_anchor_refresh_search,search_knowledge,search_knowledge,False,False,True,True,False,False,0,1,4,3,1.0,True,False
recent_history_memory_search,pass,session_followup,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,True,False,False,1,10,0,0,0.0,False,False
long_history_recent_anchor_search,pass,session_followup,session_memory_retrieval_hint,search_with_memory_context,session_memory_retrieval_hint,search_knowledge,search_knowledge,False,False,True,True,False,False,0,10,0,0,0.0,False,False
prior_source_one_no_magic_reuses,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,0,0,0,1,1.0,True,False
prior_without_summary_uses_source_content,pass,expand_followup,reuse_prior_evidence,answer_from_prior_evidence,reuse_prior_evidence,answer_with_citations,answer_with_citations,True,True,True,False,True,False,0,0,0,1,1.0,True,False
