variant,run,case_id,category,ok,error_category,http_status,expected_tool,observed_tool_names,expected_graph_requirement,observed_graph_requirement,citation_count,selected_count,live_selected_count,lexical_backend,vector_backend,vector_degraded,streaming_degraded,streamed_token_count,counts_match,conversation_persisted,first_token_ms,elapsed_ms,retrieval_total_latency_ms,glm_rerank_latency_ms,agent_short_loop_enabled,reranking_provider,reranking_model_name,retrieval_candidate_cache_enabled,rerank_order_cache_enabled,tool_result_cache_enabled,semantic_evidence_cache_enabled,snapshot_fingerprint
phase63,1,e2e-rock-mechanics-01,ordinary_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,6,12,12,bm25,pgvector_hnsw,False,False,575,True,True,58736.151,68917.344,3428.311,867.527,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-text-03,ordinary_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,4,12,12,bm25,pgvector_hnsw,False,False,170,True,True,42191.284,45283.628,2554.036,811.414,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-text-03,ordinary_text,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,12517.788,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-text-04,ordinary_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,4,11,11,bm25,pgvector_hnsw,False,False,242,True,True,38637.879,43784.432,5076.088,1205.888,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-text-04,ordinary_text,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,11,,,False,False,0,False,False,0.0,11984.392,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-text-05,long_evidence,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,6,12,12,bm25,pgvector_hnsw,False,False,563,True,True,24148.328,36174.674,4460.101,1007.581,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-text-05,long_evidence,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,14954.475,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-rel-02,relationship,False,unexpected_graph_route,200,hybrid_search_knowledge,hybrid_search_knowledge,active,disabled,3,12,12,bm25,pgvector_hnsw,False,False,252,True,True,45138.933,49776.574,4449.776,2082.331,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-rel-02,relationship,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,active,,0,0,12,,,False,False,0,False,False,0.0,10776.279,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-rel-03,relationship,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,active,required,5,12,12,bm25,pgvector_hnsw,False,False,208,True,True,30552.768,34680.59,8376.708,6915.596,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-rel-03,relationship,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,active,required,8,12,12,bm25,pgvector_hnsw,False,False,305,True,True,41919.419,46141.679,8309.887,4794.337,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-rel-04,relationship,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,active,required,6,12,12,bm25,pgvector_hnsw,False,False,283,True,True,31180.425,35443.366,9386.333,1896.707,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-rel-04,relationship,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,active,,0,0,12,,,False,False,0,False,False,0.0,6543.044,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-table-02,table,True,,200,search_tables,search_tables,disabled,disabled,8,9,9,not_run,pgvector_hnsw,False,False,212,True,True,13881.745,17680.091,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-table-02,table,True,,200,search_tables,search_tables,disabled,disabled,2,12,12,not_run,pgvector_hnsw,False,False,264,True,True,25434.258,29253.17,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-table-03,table,True,,200,search_tables,search_tables,disabled,disabled,7,12,12,not_run,pgvector_hnsw,False,False,355,True,True,26685.005,31827.68,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-table-03,table,False,stream_error,200,search_tables,search_tables,disabled,,0,0,12,,,False,False,0,False,False,0.0,7860.321,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-fig-02,figure,True,,200,search_figures,search_figures,disabled,disabled,6,11,11,not_run,pgvector_hnsw,False,False,156,True,True,8937.141,11513.122,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-fig-02,figure,True,,200,search_figures,search_figures,disabled,disabled,8,11,11,not_run,pgvector_hnsw,False,False,270,True,True,12973.328,17018.022,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-fig-03,figure,True,,200,search_figures,search_figures,disabled,disabled,7,11,11,not_run,pgvector_hnsw,False,False,250,True,True,33399.496,37349.736,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-fig-03,figure,True,,200,search_figures,search_figures,disabled,disabled,7,11,11,not_run,pgvector_hnsw,False,False,301,True,True,28873.008,35685.501,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-neg-04,negative_visual,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,1,12,12,bm25,pgvector_hnsw,False,False,160,True,True,26803.233,29463.412,3247.915,794.641,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-neg-04,negative_visual,False,retrieval_count_mismatch,200,hybrid_search_knowledge,hybrid_search_knowledge|search_figures,disabled,disabled,8,11,12,bm25,pgvector_hnsw,False,False,250,False,True,17946.794,22314.347,3026.226,2389.247,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-neg-05,negative_table,False,unexpected_tool_route,200,hybrid_search_knowledge,search_tables,disabled,required,8,12,0,not_run,pgvector_hnsw,False,False,267,False,True,11850.899,17379.612,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-neg-05,negative_table,False,unexpected_tool_route,200,hybrid_search_knowledge,search_tables,disabled,disabled,3,12,0,not_run,pgvector_hnsw,False,False,253,False,True,36927.337,41531.456,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-neg-06,negative_relationship,False,unexpected_graph_route,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,required,3,12,12,bm25,pgvector_hnsw,False,False,361,True,True,29595.171,34049.21,8791.843,1847.581,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-neg-06,negative_relationship,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,19284.756,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-followup-01,followup_text,False,unexpected_tool_route,200,hybrid_search_knowledge,,disabled,,0,0,0,,,False,False,0,False,True,10109.043,10271.361,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-followup-01,followup_text,False,unexpected_tool_route,200,hybrid_search_knowledge,,disabled,,0,0,0,,,False,False,0,False,True,9512.8,9694.294,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-followup-02,followup_figure,False,unexpected_tool_route,200,search_figures,,disabled,,0,0,0,,,False,False,0,False,True,6065.916,6227.397,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-followup-02,followup_figure,False,unexpected_tool_route,200,search_figures,,disabled,,0,0,0,,,False,False,0,False,True,8512.576,8682.547,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-followup-03,followup_table,False,unexpected_tool_route,200,search_tables,,disabled,,0,0,0,,,False,False,0,False,True,10127.273,10297.516,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-followup-03,followup_table,False,unexpected_tool_route,200,search_tables,,disabled,,0,0,0,,,False,False,0,False,True,4240.097,4388.661,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-boundary-01,boundary_refusal,False,unexpected_tool_route,200,off_topic_gate,,disabled,,0,0,0,,,False,False,0,False,True,4274.207,4452.326,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-boundary-01,boundary_refusal,False,unexpected_tool_route,200,off_topic_gate,,disabled,,0,0,0,,,False,False,0,False,True,10130.466,10293.286,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-boundary-02,boundary_refusal,False,unexpected_tool_route,200,responsibility_gate,,disabled,,0,0,0,,,False,False,0,False,True,4978.721,5147.489,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-boundary-02,boundary_refusal,False,unexpected_tool_route,200,responsibility_gate,,disabled,,0,0,0,,,False,False,0,False,True,7699.937,7832.607,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-text-06,ordinary_text,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,13024.696,0.0,0.0,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-text-06,ordinary_text,True,,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,disabled,8,12,12,bm25,pgvector_hnsw,False,False,443,True,True,27491.898,34543.246,3063.161,859.011,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-rel-05,relationship,False,unexpected_graph_route,200,hybrid_search_knowledge,hybrid_search_knowledge,active,disabled,4,12,12,bm25,pgvector_hnsw,False,False,210,True,True,69837.708,73483.96,2734.983,800.683,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-rel-05,relationship,False,unexpected_graph_route,200,hybrid_search_knowledge,hybrid_search_knowledge,active,disabled,6,12,12,bm25,pgvector_hnsw,False,False,433,True,True,73437.278,80905.143,3904.449,7041.29,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase63,1,phase64-long-02,long_evidence,False,stream_error,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,,0,0,12,,,False,False,0,False,False,0.0,16286.002,0.0,0.0,False,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
phase64,1,phase64-long-02,long_evidence,False,unexpected_graph_route,200,hybrid_search_knowledge,hybrid_search_knowledge,disabled,required,4,12,12,bm25,pgvector_hnsw,False,False,605,True,True,24322.491,35279.612,9134.891,1816.092,True,paratera,GLM-Rerank,False,False,False,False,a092cf2dd585fee16986b457d0def95326ba678508e7d34ae37f62f3348b6b62
