case_id,category,runtime_mode,executed,ok,error_category,elapsed_ms,judge_elapsed_ms,expected_tool,observed_tool_names,expected_graph_requirement,observed_graph_requirement,plan_schema,plan_digest,selected_chunk_ids,selected_count,citation_count,answer_accuracy_score,citation_validity_score,planner_fallback,graph_fallback,required_channels_satisfied,reranking_degraded,refused
table-04,table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-05,table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-05,table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-06,table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
table-06,table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
neg-01,negative_intent,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-01,negative_intent,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-02,negative_intent,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-02,negative_intent,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-03,negative_intent,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-03,negative_intent,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-04,negative_intent,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
neg-04,negative_intent,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
neg-05,negative_intent,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-05,negative_intent,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-06,negative_intent,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
neg-06,negative_intent,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-01,fallback,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-01,fallback,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-02,fallback,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-02,fallback,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-03,fallback,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-03,fallback,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-04,fallback,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-04,fallback,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-05,fallback,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
fallback-05,fallback,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
fallback-06,fallback,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
fallback-06,fallback,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
ordinary-01,ordinary,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
ordinary-01,ordinary,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
ordinary-02,ordinary,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
ordinary-02,ordinary,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
explicit-rel-01,explicit_relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
explicit-rel-01,explicit_relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
explicit-rel-02,explicit_relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
explicit-rel-02,explicit_relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
implicit-rel-01,implicit_relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
implicit-rel-01,implicit_relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
implicit-rel-02,implicit_relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
implicit-rel-02,implicit_relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
standard-ref-01,standard_reference,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
standard-ref-01,standard_reference,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
standard-ref-02,standard_reference,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
standard-ref-02,standard_reference,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
graph-neg-01,graph_negative,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
graph-neg-01,graph_negative,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
graph-neg-02,graph_negative,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
graph-neg-02,graph_negative,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
rel-neg-01,relationship_negation,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
rel-neg-01,relationship_negation,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
rel-neg-02,relationship_negation,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
rel-neg-02,relationship_negation,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
explicit-table-01,explicit_table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
explicit-table-01,explicit_table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
explicit-table-02,explicit_table,legacy,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
explicit-table-02,explicit_table,phase63,False,True,,0.0,0.0,search_tables,,disabled,,,,,0,0,,,,,,,False
explicit-figure-01,explicit_figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
explicit-figure-01,explicit_figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
explicit-figure-02,explicit_figure,legacy,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
explicit-figure-02,explicit_figure,phase63,False,True,,0.0,0.0,search_figures,,disabled,,,,,0,0,,,,,,,False
followup-rel-01,followup_relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
followup-rel-01,followup_relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
followup-rel-02,followup_relationship,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
followup-rel-02,followup_relationship,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,preferred,,,,,0,0,,,,,,,False
topic-shift-01,topic_shift,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
topic-shift-01,topic_shift,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
topic-shift-02,topic_shift,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
topic-shift-02,topic_shift,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
planner-fail-01,planner_failure,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
planner-fail-01,planner_failure,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
planner-fail-02,planner_failure,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
planner-fail-02,planner_failure,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,disabled,,,,,0,0,,,,,,,False
graph-unavailable-01,graph_unavailable,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
graph-unavailable-01,graph_unavailable,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
graph-unavailable-02,graph_unavailable,legacy,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
graph-unavailable-02,graph_unavailable,phase63,False,True,,0.0,0.0,hybrid_search_knowledge,,required,,,,,0,0,,,,,,,False
